astecid,date,cusip,isin,tradingsymbol,utilizationpercentunits,availableunits,availablemarketvalueusd
100258,2016-01-07,037833100,US0378331005,AAPL,0.22,492921182.0,49438104452.7244
100258,2016-01-08,037833100,US0378331005,AAPL,0.18,492415998.0,47712225746.2167
100258,2016-01-11,037833100,US0378331005,AAPL,0.19,491059199.0,47712903682.5805
100258,2016-01-12,037833100,US0378331005,AAPL,0.17,481553270.0,47512662062.0688
100258,2016-01-13,037833100,US0378331005,AAPL,0.26,493346042.0,49126551887.8164
100258,2016-01-14,037833100,US0378331005,AAPL,0.15,490642897.0,48036837265.7585
100258,2016-01-15,037833100,US0378331005,AAPL,0.13,490052166.0,48508302250.3104
100258,2016-01-18,037833100,US0378331005,AAPL,0.13,489701397.0,47679254066.0256
100258,2016-01-19,037833100,US0378331005,AAPL,0.27,488521050.0,47431781994.4243
100258,2016-01-20,037833100,US0378331005,AAPL,0.2,488075730.0,47217073755.2382
100258,2016-01-21,037833100,US0378331005,AAPL,0.44,487144412.0,47147192355.919
100258,2016-01-22,037833100,US0378331005,AAPL,0.27,485478051.0,47150922510.6617
100258,2016-01-25,037833100,US0378331005,AAPL,0.23,487351613.0,49058497830.4742
100258,2016-01-26,037833100,US0378331005,AAPL,0.16,486162737.0,48467443563.4881
100258,2016-01-27,037833100,US0378331005,AAPL,0.08,488582830.0,48411636705.625
100258,2016-01-28,037833100,US0378331005,AAPL,0.11,486615468.0,45774505332.7156
100258,2016-01-29,037833100,US0378331005,AAPL,0.12,483115049.0,45652064700.3049
100258,2016-02-01,037833100,US0378331005,AAPL,0.22,484895786.0,47019257410.5752
100258,2016-02-02,037833100,US0378331005,AAPL,0.27,487713047.0,46944016600.8044
100258,2016-02-03,037833100,US0378331005,AAPL,0.25,487184029.0,46234583087.2372
100258,2016-02-04,037833100,US0378331005,AAPL,0.22,487134964.0,46890460992.9294
100258,2016-02-05,037833100,US0378331005,AAPL,0.38,493167543.0,47468416852.5695
100258,2016-02-08,037833100,US0378331005,AAPL,0.41,493072239.0,46538198198.6389
100258,2016-02-09,037833100,US0378331005,AAPL,0.06,491245292.0,46644609730.7698
100258,2016-02-10,037833100,US0378331005,AAPL,0.04,489037383.0,46418281601.1555
100258,2016-02-11,037833100,US0378331005,AAPL,0.06,480213187.0,45258153417.2154
100258,2016-02-12,037833100,US0378331005,AAPL,0.2,481210544.0,45140857341.6486
100258,2016-02-15,037833100,US0378331005,AAPL,0.2,491853040.0,46228744508.0088
100258,2016-02-16,037833100,US0378331005,AAPL,0.12,487065668.0,45953029011.5857
100258,2016-02-17,037833100,US0378331005,AAPL,0.12,486469549.0,47013631252.4636
100258,2016-02-18,037833100,US0378331005,AAPL,0.05,487326554.0,47644973729.417
100258,2016-02-19,037833100,US0378331005,AAPL,0.1,489171619.0,47148538723.4518
100258,2016-02-22,037833100,US0378331005,AAPL,0.1,490756292.0,47204180038.327
100258,2016-02-23,037833100,US0378331005,AAPL,0.04,491595702.0,47480353723.2623
100258,2016-02-24,037833100,US0378331005,AAPL,0.03,487909066.0,46400711403.7128
100258,2016-02-25,037833100,US0378331005,AAPL,0.07,477348112.0,45913678373.8141
100258,2016-02-26,037833100,US0378331005,AAPL,0.13,488777513.0,47283744492.7111
100258,2016-02-29,037833100,US0378331005,AAPL,0.12,476800287.0,46212225858.3184
100258,2016-03-01,037833100,US0378331005,AAPL,0.13,489179792.0,47594063572.6444
100258,2016-03-02,037833100,US0378331005,AAPL,0.13,487381549.0,48871048450.022
100258,2016-03-03,037833100,US0378331005,AAPL,0.1,489287068.0,49343953302.1612
100258,2016-03-04,037833100,US0378331005,AAPL,0.08,490144116.0,49838483421.1468
100258,2016-03-07,037833100,US0378331005,AAPL,0.15,486163666.0,49938154576.209
100258,2016-03-08,037833100,US0378331005,AAPL,0.17,486768700.0,49565063895.6488
100258,2016-03-09,037833100,US0378331005,AAPL,0.23,486602710.0,49200419690.7158
100258,2016-03-10,037833100,US0378331005,AAPL,0.16,486936014.0,49238718909.803
100258,2016-03-11,037833100,US0378331005,AAPL,0.24,486810535.0,49333197419.2198
100258,2016-03-14,037833100,US0378331005,AAPL,0.26,488792962.0,49964092235.5267
100258,2016-03-15,037833100,US0378331005,AAPL,0.25,490814712.0,50464915574.0743
100258,2016-03-16,037833100,US0378331005,AAPL,0.38,490628490.0,51346286763.072
100258,2016-03-17,037833100,US0378331005,AAPL,0.29,491087687.0,51976220943.5632
100258,2016-03-18,037833100,US0378331005,AAPL,0.24,490236089.0,51886272888.0847
100258,2016-03-21,037833100,US0378331005,AAPL,0.23,490200351.0,51916206472.0337
100258,2016-03-22,037833100,US0378331005,AAPL,0.19,489872723.0,51944518892.2276
100258,2016-03-23,037833100,US0378331005,AAPL,0.17,489916876.0,52209534562.7744
100258,2016-03-24,037833100,US0378331005,AAPL,0.05,488961608.0,51886111713.9344
100258,2016-03-25,037833100,US0378331005,AAPL,0.05,487841461.0,51575280547.7084
100258,2016-03-28,037833100,US0378331005,AAPL,0.08,489795463.0,51720042040.0796
100258,2016-03-29,037833100,US0378331005,AAPL,0.02,491302945.0,51889753935.9844
100258,2016-03-30,037833100,US0378331005,AAPL,0.02,490223628.0,52837939940.3509
100258,2016-03-31,037833100,US0378331005,AAPL,0.03,489611770.0,53532768578.982
100258,2016-04-01,037833100,US0378331005,AAPL,0.06,490658709.0,53574476268.3798
100258,2016-04-04,037833100,US0378331005,AAPL,0.17,491479150.0,54107455328.7942
100258,2016-04-05,037833100,US0378331005,AAPL,0.06,491555658.0,54480419492.2957
100258,2016-04-06,037833100,US0378331005,AAPL,0.02,489792698.0,53919729329.9085
100258,2016-04-07,037833100,US0378331005,AAPL,0.17,491858681.0,54348198670.9153
100258,2016-04-08,037833100,US0378331005,AAPL,0.01,489696353.0,53249931530.583
100258,2016-04-11,037833100,US0378331005,AAPL,0.0,480143399.0,52196431258.0075
100258,2016-04-12,037833100,US0378331005,AAPL,0.08,479215850.0,52341881403.1324
100258,2016-04-13,037833100,US0378331005,AAPL,0.07,479136940.0,52985491673.4462
100258,2016-04-14,037833100,US0378331005,AAPL,0.09,493503350.0,55232184896.2878
100258,2016-04-15,037833100,US0378331005,AAPL,0.09,492666975.0,55051396593.9336
100258,2016-04-18,037833100,US0378331005,AAPL,0.16,493113096.0,53988424865.2768
100258,2016-04-19,037833100,US0378331005,AAPL,0.11,493106575.0,53043005965.8
100258,2016-04-20,037833100,US0378331005,AAPL,0.06,492619481.0,52705530095.0675
100258,2016-04-21,037833100,US0378331005,AAPL,0.03,492875340.0,52703679670.8568
100258,2016-04-22,037833100,US0378331005,AAPL,0.04,503518892.0,53377275058.9596
