astecid,date,cusip,isin,tradingsymbol,contracttypeid,collateraltypeid,collateralcurrencyid,lowerbound,upperbound,units,newunits
100258,2014-01-21,037833100,US0378331005,AAPL,O,C,USD,0.3,0.4,513551.0,210000.0
100258,2014-01-22,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,82600.0,0.0
100258,2014-01-23,037833100,US0378331005,AAPL,O,C,USD,-1.0,-0.75,100.0,100.0
100258,2014-01-24,037833100,US0378331005,AAPL,O,C,USD,0.2,0.3,300700.0,0.0
100258,2014-01-27,037833100,US0378331005,AAPL,O,C,USD,0.0,0.1,88705.0,1105.0
100258,2014-02-17,037833100,US0378331005,AAPL,O,C,USD,0.0,0.1,3667100.0,900.0
100258,2014-02-18,037833100,US0378331005,AAPL,O,C,USD,0.4,0.5,1108580.0,73500.0
100258,2014-02-19,037833100,US0378331005,AAPL,O,C,USD,0.2,0.3,226100.0,0.0
100258,2014-02-20,037833100,US0378331005,AAPL,O,A,AAA,-0.1,0.0,258900.0,21500.0
100258,2014-02-21,037833100,US0378331005,AAPL,O,C,USD,-0.1,0.0,42810.0,34339.0
100258,2014-02-24,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.2,370000.0,10000.0
100258,2014-02-25,037833100,US0378331005,AAPL,O,A,AAA,0.2,0.3,16000.0,0.0
100258,2014-02-26,037833100,US0378331005,AAPL,O,N,XXX,0.3,0.35,177000.0,0.0
100258,2014-02-27,037833100,US0378331005,AAPL,O,C,USD,-0.1,0.0,83660.0,600.0
100258,2014-02-28,037833100,US0378331005,AAPL,O,C,USD,0.4,0.5,178500.0,8800.0
100258,2014-03-03,037833100,US0378331005,AAPL,O,C,USD,-1.0,-0.75,200.0,200.0
100258,2014-03-04,037833100,US0378331005,AAPL,O,A,AAA,-0.25,0.0,1115913.0,20200.0
100258,2014-03-05,037833100,US0378331005,AAPL,O,A,AAA,0.0,0.1,143600.0,111400.0
100258,2014-03-06,037833100,US0378331005,AAPL,O,N,XXX,0.3,0.35,188000.0,11000.0
100258,2014-03-07,037833100,US0378331005,AAPL,O,C,USD,0.2,0.3,258700.0,1600.0
100258,2014-03-10,037833100,US0378331005,AAPL,O,A,AAA,0.0,0.1,114000.0,4500.0
100258,2014-03-11,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,12200.0,0.0
100258,2014-03-12,037833100,US0378331005,AAPL,O,A,AAA,-0.4,-0.3,292300.0,13200.0
100258,2014-03-13,037833100,US0378331005,AAPL,O,A,AAA,0.0,0.1,10400.0,0.0
100258,2014-03-14,037833100,US0378331005,AAPL,O,N,XXX,0.25,0.3,16000.0,0.0
100258,2014-03-17,037833100,US0378331005,AAPL,O,C,USD,0.0,0.1,400.0,0.0
100258,2014-03-18,037833100,US0378331005,AAPL,O,A,AAA,0.0,0.1,400.0,0.0
100258,2014-03-19,037833100,US0378331005,AAPL,O,N,XXX,0.4,0.45,204000.0,0.0
100258,2014-03-20,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,212000.0,0.0
100258,2014-03-21,037833100,US0378331005,AAPL,O,N,XXX,0.15,0.2,289000.0,0.0
100258,2014-03-24,037833100,US0378331005,AAPL,O,A,AAA,0.4,0.5,147000.0,0.0
100258,2014-03-25,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.15,43900.0,0.0
100258,2014-03-26,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.15,43900.0,0.0
100258,2014-03-27,037833100,US0378331005,AAPL,O,A,AAA,0.0,0.1,54100.0,41500.0
100258,2014-03-28,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,1000.0,1000.0
100258,2014-03-31,037833100,US0378331005,AAPL,O,A,AAA,-0.1,0.0,200.0,200.0
100258,2014-07-01,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,150000.0,0.0
100258,2014-07-02,037833100,US0378331005,AAPL,O,A,AAA,-0.2,-0.1,3656954.0,0.0
100258,2014-07-03,037833100,US0378331005,AAPL,O,A,AAA,-0.9,-0.8,210000.0,0.0
100258,2014-07-04,037833100,US0378331005,AAPL,O,C,USD,0.9,1.0,210000.0,0.0
100258,2014-07-07,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,41600.0,0.0
100258,2014-07-08,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,11800.0,100.0
100258,2014-07-09,037833100,US0378331005,AAPL,O,A,AAA,-0.7,-0.6,250000.0,0.0
100258,2014-07-10,037833100,US0378331005,AAPL,O,C,USD,1.0,1.25,400.0,0.0
100258,2014-07-11,037833100,US0378331005,AAPL,O,A,AAA,0.0,0.1,39400.0,7000.0
100258,2014-07-14,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,262000.0,146000.0
100258,2014-07-15,037833100,US0378331005,AAPL,O,C,USD,0.0,0.25,511700.0,400.0
